yc,xc1,xc2,tc1,tc2,tc3
128.62,25.8,76.83,8.56,5.37,3.1
96.13,25.62,77.17,8.56,5.37,3.1
85.19,25.32,79.17,8.56,5.37,3.1
85.19,25.03,81.17,8.56,5.37,3.1
81.71,24.73,83.17,8.56,5.37,3.1
86.83,24.42,85.17,8.56,5.37,3.1
112.06,24.12,87.17,8.56,5.37,3.1
148.82,23.82,89.17,8.56,5.37,3.1
126.12,23.99,89.42,8.56,5.37,3.1
94.66,24.67,86.67,8.56,5.37,3.1
93.28,25.23,84.42,8.56,5.37,3.1
121.9,25.92,81.67,8.56,5.37,3.1
142.0,26.42,79.42,8.56,5.37,3.1
172.74,26.91,76.08,8.56,5.37,3.1
222.57,27.43,73.42,8.56,5.37,3.1
302.81,27.66,75.33,8.56,5.37,3.1
438.93,28.28,72.92,8.56,5.37,3.1
490.33,28.35,70.58,8.56,5.37,3.1
501.68,27.92,72.75,8.56,5.37,3.1
460.74,27.22,74.58,8.56,5.37,3.1
417.17,26.62,75.58,8.56,5.37,3.1
357.69,26.32,76.58,8.56,5.37,3.1
280.19,26.03,78.75,8.56,5.37,3.1
210.02,25.84,78.83,8.56,5.37,3.1
131.7,25.8,76.83,7.85,5.54,2.43
96.25,25.62,77.17,7.85,5.54,2.43
85.56,25.32,79.17,7.85,5.54,2.43
85.56,25.03,81.17,7.85,5.54,2.43
81.97,24.73,83.17,7.85,5.54,2.43
87.45,24.42,85.17,7.85,5.54,2.43
111.79,24.12,87.17,7.85,5.54,2.43
145.9,23.82,89.17,7.85,5.54,2.43
123.76,23.99,89.42,7.85,5.54,2.43
93.84,24.67,86.67,7.85,5.54,2.43
92.84,25.23,84.42,7.85,5.54,2.43
128.27,25.92,81.67,7.85,5.54,2.43
154.93,26.42,79.42,7.85,5.54,2.43
192.91,26.91,76.08,7.85,5.54,2.43
252.74,27.43,73.42,7.85,5.54,2.43
347.85,27.66,75.33,7.85,5.54,2.43
507.27,28.28,72.92,7.85,5.54,2.43
557.17,28.35,70.58,7.85,5.54,2.43
563.35,27.92,72.75,7.85,5.54,2.43
506.67,27.22,74.58,7.85,5.54,2.43
447.29,26.62,75.58,7.85,5.54,2.43
377.2,26.32,76.58,7.85,5.54,2.43
292.39,26.03,78.75,7.85,5.54,2.43
217.93,25.84,78.83,7.85,5.54,2.43
138.3,25.8,76.83,6.63,6.73,3.24
108.43,25.62,77.17,6.63,6.73,3.24
95.8,25.32,79.17,6.63,6.73,3.24
95.8,25.03,81.17,6.63,6.73,3.24
91.44,24.73,83.17,6.63,6.73,3.24
98.73,24.42,85.17,6.63,6.73,3.24
123.27,24.12,87.17,6.63,6.73,3.24
153.41,23.82,89.17,6.63,6.73,3.24
130.28,23.99,89.42,6.63,6.73,3.24
101.47,24.67,86.67,6.63,6.73,3.24
105.09,25.23,84.42,6.63,6.73,3.24
137.31,25.92,81.67,6.63,6.73,3.24
153.02,26.42,79.42,6.63,6.73,3.24
182.04,26.91,76.08,6.63,6.73,3.24
229.59,27.43,73.42,6.63,6.73,3.24
298.23,27.66,75.33,6.63,6.73,3.24
426.79,28.28,72.92,6.63,6.73,3.24
474.25,28.35,70.58,6.63,6.73,3.24
484.26,27.92,72.75,6.63,6.73,3.24
444.14,27.22,74.58,6.63,6.73,3.24
401.87,26.62,75.58,6.63,6.73,3.24
346.9,26.32,76.58,6.63,6.73,3.24
274.56,26.03,78.75,6.63,6.73,3.24
211.2,25.84,78.83,6.63,6.73,3.24
138.89,25.8,76.83,8.67,6.08,3.45
106.4,25.62,77.17,8.67,6.08,3.45
93.03,25.32,79.17,8.67,6.08,3.45
93.03,25.03,81.17,8.67,6.08,3.45
89.09,24.73,83.17,8.67,6.08,3.45
95.1,24.42,85.17,8.67,6.08,3.45
121.9,24.12,87.17,8.67,6.08,3.45
159.55,23.82,89.17,8.67,6.08,3.45
135.18,23.99,89.42,8.67,6.08,3.45
102.2,24.67,86.67,8.67,6.08,3.45
104.17,25.23,84.42,8.67,6.08,3.45
134.57,25.92,81.67,8.67,6.08,3.45
149.63,26.42,79.42,8.67,6.08,3.45
177.4,26.91,76.08,8.67,6.08,3.45
223.54,27.43,73.42,8.67,6.08,3.45
295.81,27.66,75.33,8.67,6.08,3.45
424.92,28.28,72.92,8.67,6.08,3.45
479.13,28.35,70.58,8.67,6.08,3.45
493.56,27.92,72.75,8.67,6.08,3.45
458.96,27.22,74.58,8.67,6.08,3.45
421.79,26.62,75.58,8.67,6.08,3.45
366.04,26.32,76.58,8.67,6.08,3.45
289.48,26.03,78.75,8.67,6.08,3.45
219.71,25.84,78.83,8.67,6.08,3.45
133.19,25.8,76.83,8.18,5.72,2.92
